row,Rec,Tgts,Yds,Avg,Lng,Td,player,playerid,recRate,ydsPerTgt
153,2,5,17,8.5,10,0,Brian Hartline,5,0.40,3.4
154,5,10,84,16.8,28,0,Brian Hartline,5,0.50,8.4
155,2,6,34,17,28,0,Brian Hartline,5,0.33,5.7
156,5,6,77,15.4,37,0,Brian Hartline,5,0.83,12.8
157,2,7,12,6,10,0,Brian Hartline,5,0.29,1.7
158,5,7,69,13.8,22,0,Brian Hartline,5,0.71,9.9
133,9,15,114,12.7,34,1,Brian Hartline,5,0.60,7.6
134,5,8,68,13.6,24,0,Brian Hartline,5,0.63,8.5
135,4,6,56,14,20,1,Brian Hartline,5,0.67,9.3
136,3,4,34,11.3,13,0,Brian Hartline,5,0.75,8.5
137,4,8,60,15,30,0,Brian Hartline,5,0.50,7.5
138,6,11,69,11.5,19,0,Brian Hartline,5,0.55,6.3
139,4,6,37,9.3,15,0,Brian Hartline,5,0.67,6.2
140,3,5,39,13,21,0,Brian Hartline,5,0.60,7.8
141,5,8,57,11.4,19,0,Brian Hartline,5,0.63,7.1
142,5,13,65,13,16,0,Brian Hartline,5,0.38,5.0
143,5,5,78,15.6,26,0,Brian Hartline,5,1.00,15.6
144,9,15,127,14.1,31,1,Brian Hartline,5,0.60,8.5
145,5,8,51,10.2,18,1,Brian Hartline,5,0.63,6.4
146,5,7,70,14,19,0,Brian Hartline,5,0.71,10.0
147,2,10,53,26.5,50,0,Brian Hartline,5,0.20,5.3
148,2,5,38,19,25,0,Brian Hartline,5,0.40,7.6
25,6,10,88,14.7,36,2,Calvin Johnson,6,0.60,8.8
26,3,7,29,9.7,15,2,Calvin Johnson,6,0.43,4.1
27,7,11,108,15.4,40,2,Calvin Johnson,6,0.64,9.8
28,8,13,96,12,23,2,Calvin Johnson,6,0.62,7.4
29,5,6,130,26,73,1,Calvin Johnson,6,0.83,21.7
30,7,9,113,16.1,41,0,Calvin Johnson,6,0.78,12.6
31,5,11,115,23,57,1,Calvin Johnson,6,0.45,10.5
32,6,7,125,20.8,56,1,Calvin Johnson,6,0.86,17.9
33,7,19,81,11.6,40,0,Calvin Johnson,6,0.37,4.3
34,5,8,89,17.8,30,0,Calvin Johnson,6,0.63,11.1
35,4,8,49,12.3,23,1,Calvin Johnson,6,0.50,6.1
36,6,8,69,11.5,22,0,Calvin Johnson,6,0.75,8.6
37,3,4,29,9.7,14,0,Calvin Johnson,6,0.75,7.3
38,9,14,214,23.8,51,2,Calvin Johnson,6,0.64,15.3
39,4,6,102,25.5,46,1,Calvin Johnson,6,0.67,17.0
40,11,17,244,22.2,41,1,Calvin Johnson,6,0.65,14.4
32,6,7,111,18.5,51,0,Calvin Johnson,6,0.86,15.9
33,8,12,94,11.8,26,0,Calvin Johnson,6,0.67,7.8
34,10,12,164,16.4,28,1,Calvin Johnson,6,0.83,13.7
35,5,12,54,10.8,19,0,Calvin Johnson,6,0.42,4.5
36,6,12,135,22.5,37,0,Calvin Johnson,6,0.50,11.3
37,3,11,34,11.3,16,0,Calvin Johnson,6,0.27,3.1
38,3,8,46,15.3,25,0,Calvin Johnson,6,0.38,5.8
39,7,8,129,18.4,38,0,Calvin Johnson,6,0.88,16.1
40,12,13,207,17.3,50,1,Calvin Johnson,6,0.92,15.9
41,5,11,143,28.6,53,1,Calvin Johnson,6,0.45,13.0
42,8,17,140,17.5,35,1,Calvin Johnson,6,0.47,8.2
43,13,21,171,13.2,46,1,Calvin Johnson,6,0.62,8.1
44,10,13,118,11.8,20,0,Calvin Johnson,6,0.77,9.1
45,10,17,121,12.1,30,0,Calvin Johnson,6,0.59,7.1
46,11,17,225,20.5,49,0,Calvin Johnson,6,0.65,13.2
47,5,14,72,14.4,24,0,Calvin Johnson,6,0.36,5.1
32,4,9,37,9.3,13,0,Calvin Johnson,6,0.44,4.1
33,6,8,116,19.3,72,2,Calvin Johnson,6,0.75,14.5
34,7,13,115,16.4,23,1,Calvin Johnson,6,0.54,8.8
35,4,10,44,11,19,1,Calvin Johnson,6,0.40,4.4
36,3,8,25,8.3,10,0,Calvin Johnson,6,0.38,3.1
37,9,14,155,17.2,50,2,Calvin Johnson,6,0.64,11.1
38,14,17,329,23.5,87,1,Calvin Johnson,6,0.82,19.4
39,6,17,83,13.8,19,2,Calvin Johnson,6,0.35,4.9
40,6,12,179,29.8,79,2,Calvin Johnson,6,0.50,14.9
41,7,14,115,16.4,21,0,Calvin Johnson,6,0.50,8.2
42,6,10,101,16.8,20,1,Calvin Johnson,6,0.60,10.1
43,3,6,52,17.3,33,0,Calvin Johnson,6,0.50,8.7
44,6,14,98,16.3,37,0,Calvin Johnson,6,0.43,7.0
45,3,4,43,14.3,17,0,Calvin Johnson,6,0.75,10.8
57,3,10,27,9,15,1,Demaryius Thomas,7,0.30,2.7
58,1,3,10,10,10,0,Demaryius Thomas,7,0.33,3.3
59,1,2,29,29,29,0,Demaryius Thomas,7,0.50,14.5
60,0,0,0,0,0,0,Demaryius Thomas,7,#DIV/0!,#DIV/0!
61,2,6,37,18.5,28,0,Demaryius Thomas,7,0.33,6.2
62,0,0,0,0,0,0,Demaryius Thomas,7,#DIV/0!,#DIV/0!
63,4,7,144,36,42,2,Demaryius Thomas,7,0.57,20.6
64,7,13,78,11.1,16,1,Demaryius Thomas,7,0.54,6.0
65,7,13,116,16.6,39,0,Demaryius Thomas,7,0.54,8.9
66,4,8,76,19,47,0,Demaryius Thomas,7,0.50,9.5
67,3,7,34,11.3,17,0,Demaryius Thomas,7,0.43,4.9
68,4,7,204,51,80,1,Demaryius Thomas,7,0.57,29.1
69,6,9,93,15.5,41,0,Demaryius Thomas,7,0.67,10.3
64,5,7,110,22,71,1,Demaryius Thomas,7,0.71,15.7
65,8,11,78,9.8,17,1,Demaryius Thomas,7,0.73,7.1
66,3,11,34,11.3,23,0,Demaryius Thomas,7,0.27,3.1
67,5,6,103,20.6,40,0,Demaryius Thomas,7,0.83,17.2
68,9,11,180,20,38,0,Demaryius Thomas,7,0.82,16.4
69,2,2,37,18.5,29,1,Demaryius Thomas,7,1.00,18.5
70,7,9,137,19.6,41,1,Demaryius Thomas,7,0.78,15.2
71,6,8,77,12.8,45,0,Demaryius Thomas,7,0.75,9.6
72,9,11,135,15,46,0,Demaryius Thomas,7,0.82,12.3
73,3,9,42,14,17,1,Demaryius Thomas,7,0.33,4.7
74,4,8,82,20.5,30,1,Demaryius Thomas,7,0.50,10.3
75,8,10,99,12.4,28,2,Demaryius Thomas,7,0.80,9.9
76,5,7,83,16.6,22,0,Demaryius Thomas,7,0.71,11.9
77,4,9,13,3.3,5,0,Demaryius Thomas,7,0.44,1.4
78,9,14,102,11.3,23,1,Demaryius Thomas,7,0.64,7.3
79,7,8,122,17.4,36,1,Demaryius Thomas,7,0.88,15.3
62,5,11,161,32.2,78,2,Demaryius Thomas,7,0.45,14.6
63,5,6,52,10.4,18,0,Demaryius Thomas,7,0.83,8.7
64,10,11,94,9.4,22,0,Demaryius Thomas,7,0.91,8.5
